rating	review 	jenis_review
1	"Bagaimana bisa,,data di KTP saya, saya isi ke aplikasi peduli lindungi bisa tidak singkron, ini ktp asli lho bos!!!! Bisa2 nya bisa muncul tulisan ""sesuaikan nama dan nik anda dengan Ktp"" , saya harus mengadu kemana telpon ke 119 ex 9,, ga bisa terus,, jangan bikin bingung bos kalo bikin aplikasi,!!"	0
1	"Saya kasih satu dulu karena aplikasi saat didownload bisa, tapi saat sudah ditutup dan ingin dibuka lagi tidak bisa, tampilan yang terbuka hanya ""izinkan akses lokasi"" yang kalau ditekan malah menampilkan info aplikasi???!!!! Tidak bisa diapa2in lagi, menu utama atau menu lain selain ""izinkan akses"	0
1	"Admin. Masalah saya yg pertama saat melakukan pendaftaran vaksinasi perdana adalah, ""internal server error"". Setelahnya melakukannya lagi berulang-ulang, masalah kedua muncul "" Nama tidak sesuai Nik"". Padalah sebelumnya bisa dan terdata, setelahnya malah gk bisa. Anda akan menyuruh saya melakukannya"	0
1	"Sangat kecewa & tdk profesional sekali. Cs pedulilindungi tdk bisa dihubungi berkali-kali. Dengan alasan sedang sibuk melayani customer lain. Dan untuk dari aplikasinya, saya hendak akan melengkapi data diri sy yg mana kurang nama dan nik, tetapi tidak bisa. Dengan alasan ""Nama dan NIK harus sama dg."	0
1	Aplikasinya sangat buruk. Registrasinya susah sekali. Dicoba berkali-kali baru bisa. Giliran sudah bisa, tibalah ujian kesabaran selanjutnya yaitu ketika mau mengisi data di Akun, Nama dan NIK tdk sesuai, padahal sudah sesuai KTP. Ujian kesabaran selanjutnya nmr OTP untuk verifikasi tdk muncul-muncu	0
1	Saya sudah vaksin dosis 1 dan 2 VPP, sertifikat tidak keluar, karena di apk pedulilindungi terdaftar VGR. Saya hubungi biofarma data saya tidak terdaftar. Saya hubungi 119 katanya data terpusat di kominfo. Saya email pedulilindungi@kominfo beberapa kali balasannya mohon menunggu. Sudah sebulan masih.	0
1	"Payah sekali ya...mau konfirmasi daftar vaksinasi tunggu kode otp di kirim tapi telat masuk terus sms nya, giliran udah dimasukin malah ""internal server error"" or ""otp not match"" mulu, gimana mau memudahkan?? Mohon untuk segera di perbaiki."	0
1	Saya mau tambahkan data diri tidak bisa, karena ada harus isi tanggal lahir, sudah pilih tanggal, tapi tidak muncul diisian, jadi tidak bisa menyimpan datanya. Sudah coba berulang2 kali beberapa hari ini tetap tidak bisa, gimana mau masukan data2 vaksinnya. Mohon diperbaiki sistemnya, terima kasih.	0
1	Pengisian tgl lahir di akun selalu gagal. Tidak bisa di tulis langsung. Lewat kalender yg ada, mundur smp nov 1951,makan wkt. Sdh di OK tapi warna tetap merah.Kenapa? Kapan di perbaiki? Sy tdk bisa melakukan scan di Mall, di Bandara. Klo di Bandara akhirnya pke Manual (di Ngurah Rai tgl 1 Okt 2021	0
1	Sertifikat gak update...udah vaksin tapi keterangannya belum vaksin dan tidak muncul sertifikatnya dari bulan Juni 2021, bikin laporan complain via call center tidak ada SLA penyelesaiannya alias ga jelas, bikin laporan via email hampir 2 bulan ga ada respon sama sekali. Bapak Ibu Pemerintah/Pejabat	0
1	Banyak kendala dan bug yang saya temui. Mulai dari mau login, pengiriman kode verifikasi ke email lama sekali bahkan tidak muncul di email. Dan saat mencari sertifikat vaksin, tidak ketemu dan terus dimintai pengecekan data. Kalau memang belum sempurna dan masih banyak bug, KENAPA DIJADIKAN SYARAT W..	0
1	Muak saya, pas awal daftar udah di persulit ?? Pas udah bisa registrasi, masalah di GPS nya ( Lokasi buatan terdeteksi), maksudnya apaaaaa coba ? Padahal di pengaturan handphone nya udah saya izinkan untuk lokasi GPS nya ?? Dahh lah saya nyerah	0
1	Aplikasi nya kok susah banget masuk nya,,Sy uda masukin berulang-ulang Nama dan NIK tapi gagal terus,,,kok seperti tdk mempermudah sama Skali,malah mempersulit,,tolong lah,,kami ini masih banyak pekerjaan, situasi ini sdh mempersulit kami,tolong jgn di tambah.	0
1	Pengisian tanggal lahir dg cara klik kalender sangat menyulitkan/lama, terutama bagi yang lahir 50 tahunan, harus mundur mencari kalender tsb. Akan lebih mudah bilamana pengisian tsb secara langsung, dengan klik 4 digit utk tahun, dua digit utk bulan dan 2 digit utk tanggal. Sifat pengisian dengan k	0
1	Gimana nih, mau update profil ga bisa aja? Niat buat aplikasi ga sih? Nomer hp, nik KTP udah bener masih ga bisa, aplikasi bug,, kl ga terpaksa krna kerjaan mana mau instal aplikasi kaya gini,, saya ga mau tau perbaiki aplikasi nya klo aplikasi ini ingin dpat rating bagus,,banyak yg komplen kenapa g.	0
1	Maaf cuman kasih bintang 1, kenapa saya kasih bintang 1 karena sehabis saya hapus aplikasi ini 1 kali semua sertifikat vaksin saya hilang semua dan anehnya saya di wajibkan untuk vaksin lagi padahal saya sudah vaksin 2 kali dari program vaksin sekolah. Di mohon kejelasannya dari pihak peduli lindung	0
